id,timestamp,grade,event_key,error_category
540d27ec01ef2ffcf9c7b9b4fa5104da,Sep_17_2020_03:38:14.ml,0,grade,Unbound value
bd7b36bfe8d66f18eea48cca06a2e4e2,Sep_13_2020_20:48:32.ml,0,grade,"[ Loading the prelude. ]
[K[ Preparing the test environment. ]
[K[ Loading your code. ]
[KError in user code:




grader outcomes:
val print_html : 'a -> 'b = <fun>
exception NotImplemented
val domain : unit -> 'a = <fun>
Exception:
Failure ""REMINDER: You should not be writing tests for undefined values."".
Called from file ""zips_fall2020/gradeHW1_question_based/exercise/solution.ml"", line 2, characters 54-65
Called from unknown location


"
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:46:17.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_12_2020_01:37:14.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:51:34.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_22:50:08.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:58:44.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:01:54.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:39:18.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_22:51:40.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:44:16.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_12_2020_01:36:52.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_12_2020_01:32:40.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_22:57:33.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_12_2020_01:36:31.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_22:53:27.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_22:52:49.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:41:37.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:43:03.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_12_2020_00:12:53.ml,0,grade,Unbound value
0d34c304d6b11a4c1c55a7c466cea30d,Sep_11_2020_23:58:29.ml,0,grade,Unbound value
76dcfda84c0890ca135f54d51a2d27e0,Sep_17_2020_21:06:38.ml,0,grade,Unbound value
76dcfda84c0890ca135f54d51a2d27e0,Sep_17_2020_21:08:10.ml,0,grade,Unbound value
76dcfda84c0890ca135f54d51a2d27e0,Sep_17_2020_21:04:04.ml,0,grade,Unbound value
76dcfda84c0890ca135f54d51a2d27e0,Sep_17_2020_21:18:25.ml,0,grade,Unbound value
76dcfda84c0890ca135f54d51a2d27e0,Sep_17_2020_21:17:49.ml,0,grade,Unbound value
